County,County Code,avg_crude_rate,year,crude_rate,aqi_average_ambient_temperature,aqi_nitrogen_dioxide_no2,aqi_outdoor_temperature,aqi_ozone,aqi_pm2_5_local_conditions,aqi_wind_direction_resultant,aqi_wind_speed_resultant,veg_treecover_loss_ha
"Baldwin County, AL",1003,83.2235294117647,2000,80.5,21.823333,,,0.054953,14.834118,,,
"Baldwin County, AL",1003,83.2235294117647,2001,82.8,20.186239,,,0.046201,10.552586,,,4344.0
"Baldwin County, AL",1003,83.2235294117647,2002,66.9,19.055769,,,0.041113,10.232743,,,3434.0
"Baldwin County, AL",1003,83.2235294117647,2003,81.8,20.208772,,,0.041756,12.169298,,,3213.0
"Baldwin County, AL",1003,83.2235294117647,2004,78.1,19.301802,,,0.046952,11.316375,,,6484.0
"Baldwin County, AL",1003,83.2235294117647,2005,74.0,19.907895,,,0.045877,11.58,,,6255.0
"Baldwin County, AL",1003,83.2235294117647,2006,68.4,20.943689,,,0.050506,11.340777,,,5294.0
"Baldwin County, AL",1003,83.2235294117647,2007,75.4,20.694545,,,0.046825,10.441818,,,5647.0
"Baldwin County, AL",1003,83.2235294117647,2008,70.0,18.994118,,,0.039874,9.597647,,,4346.0
"Baldwin County, AL",1003,83.2235294117647,2009,89.2,20.83253,,,0.037688,9.258537,,,3595.0
"Baldwin County, AL",1003,83.2235294117647,2010,97.7,18.92541,,,0.045004,10.238525,,,3461.0
"Baldwin County, AL",1003,83.2235294117647,2011,99.1,19.633913,,,0.045416,9.953913,,,4275.0
"Baldwin County, AL",1003,83.2235294117647,2012,79.8,20.186777,,,0.042243,9.200826,,,5081.0
"Baldwin County, AL",1003,83.2235294117647,2013,88.7,19.427928,,,0.039241,8.383784,,,3621.0
"Baldwin County, AL",1003,83.2235294117647,2014,91.6,19.171795,,,0.040769,8.906838,,,5193.0
"Baldwin County, AL",1003,83.2235294117647,2015,102.1,21.035965,,,0.039581,8.631579,,,4515.0
"Baldwin County, AL",1003,83.2235294117647,2016,88.7,19.008333,,,0.040624,7.226446,,,5499.0
"Clay County, AL",1027,138.6764705882353,2000,112.2,17.125962,,,0.046564,16.127619,,,
"Clay County, AL",1027,138.6764705882353,2001,111.9,15.468468,,,0.04826,12.808108,,,2120.0
"Clay County, AL",1027,138.6764705882353,2002,140.3,16.357627,,,0.046996,13.199153,,,1964.0
"Clay County, AL",1027,138.6764705882353,2003,91.5,16.044144,,,0.044477,13.488288,,,1496.0
"Clay County, AL",1027,138.6764705882353,2004,85.0,15.521053,,,0.044407,13.015789,,,2142.0
"Clay County, AL",1027,138.6764705882353,2005,163.4,15.790833,,,0.047177,13.473333,,,1754.0
"Clay County, AL",1027,138.6764705882353,2006,106.7,16.39,,,0.050633,13.012397,,,1907.0
"Clay County, AL",1027,138.6764705882353,2007,120.7,16.696667,,,0.051184,13.1417375,,,2142.0
"Clay County, AL",1027,138.6764705882353,2008,127.1,16.766364,,,,10.8,,,2478.0
"Clay County, AL",1027,138.6764705882353,2009,164.2,16.051261,,,,9.132773,,,1128.0
"Clay County, AL",1027,138.6764705882353,2010,150.7,16.365487,,,,10.536283,,,2472.0
"Clay County, AL",1027,138.6764705882353,2011,182.8,16.687288,,,,10.60339,,,1324.0
"Clay County, AL",1027,138.6764705882353,2012,141.1,16.53719,,,,8.887603,,,1587.0
"Clay County, AL",1027,138.6764705882353,2013,208.0,15.998261,,,,8.045763,,,1381.0
"Clay County, AL",1027,138.6764705882353,2014,177.7,16.587719,,,,8.903509,,,1947.0
"Clay County, AL",1027,138.6764705882353,2015,133.4,16.632432,,,,8.254464,,,1989.0
"Clay County, AL",1027,138.6764705882353,2016,140.8,14.67069,,,,7.363793,,,2297.0
"Colbert County, AL",1033,126.94117647058825,2000,110.9,16.839623,,,,15.616038,,,
"Colbert County, AL",1033,126.94117647058825,2001,93.1,14.379798,,,,12.668,,,2692.0
"Colbert County, AL",1033,126.94117647058825,2002,133.9,15.566667,15.20438,,0.046327,12.552083,,,1403.0
"Colbert County, AL",1033,126.94117647058825,2003,94.0,14.922414,16.534884,,0.042087,12.837069,,,826.0
"Colbert County, AL",1033,126.94117647058825,2004,106.7,15.80614,,,0.042339,11.812281,,,1240.0
"Colbert County, AL",1033,126.94117647058825,2005,93.8,16.299145,,,0.048266,13.28547,,,1167.0
